"Martin Bryant (*May 7, 1967)",,,AU
,,,
"Nicky Charisse (*May 7, 1942)",,,US
,,,
"Robert Cole (*May 7, 1948)","astrologer, writer",,US
,,,
"Reuben Davis (*May 7, 1965)",American football player,,US
,,,
"Ronnie Gale Dreyer (*May 7, 1953)","astrologer, author",,US
,,,
"El Lobo (*May 7, 1979)",,,FR
,,,
"Daniela Ferolla (*May 7, 1984)",,,IT
,,,
"Jean Gandois (*May 7, 1930)",,,FR
,,,
"Fili Houtteman (*May 7, 1972)",,,BE
,,,
"Elizabeth Johnson (*May 7, 1963)",,,US
,,,
"Michael Knight (*May 7, 1959)",actor,,US
,,,
"Klaus-Peter Kohl (*May 7, 1944)",boxer,,DE
,,,
"Emmanuel Krivine (*May 7, 1947)",musician,,FR
,,,
"Hans Kuenkel (*May 7, 1896)","astrologer, writer",,DE
,,,
"Edwin Herbert Land (*May 7, 1909)",,,US
,,,
"Calum MacDonald (*May 7, 1956)",politician,,GB
,,,
"David Marshall (*May 7, 1941)",politician,,GB
,,,
"Francois Maurer (*May 7, 1922)",priest,,FR
,,,
"Marvin Mitchelson (*May 7, 1928)",lawyer,,US
,,,
"Anthony J. O'Reilly (*May 7, 1936)",businessman,,IE
,,,
"Michael Orland (*May 7, 1963)",musician,,US
,,,
"Luiz Pacheco (*May 7, 1925)",writer,,PT
,,,
"Wynter Perrineau (*May 7, 2008)",,,US
,,,
"Marcel Poot (*May 7, 1901)",composer,,BE
,,,
"Simon Ramo (*May 7, 1913)",,,US
,,,
"Tim Russert (*May 7, 1950)",journalist,,US
,,,
"Kenneth Seguin (*May 7, 1957)",,,US
,,,
"Herbert J. Siegel (*May 7, 1928)",businessman,,US
,,,
"Andrea Tafi (*May 7, 1966)",,,IT
,,,
"Orhan Tanovic (*May 7, 2005)",,,FR
,,,
"Judah Tapert (*May 7, 2002)",,,NZ
,,,
"A. T. Tschiffeley (*May 7, 1895)",,,CH
,,,
"Oskar von Miller (*May 7, 1855)",,,DE
,,,
"Stian Arnesen (*May 7, 1978)",bassist,,NO
,,,
Erik Fojtík (*1972),hockey player,,SK
,,,
Ľuboš Hanzel (*1987),soccer player,,SK
,,,
"Sydney Leroux (*May 7, 1990)",soccer player,,CA
,,,
"Michael Maier (*May 7, 1964)",,,XX
,,,
Petr Papoušek (*1977),soccer player,,CZ
,,,
Peter Petráš (*1979),soccer player,,SK
,,,
Romana Tabaková (*1991),tennis player,,SK
,,,
Roman Týce (*1977),soccer player,,CZ
,,,
"Frieda Brepoels (*May 7, 1955)","Member of the European Parliament, MEP",,BE
,,,
"Ole Christensen (*May 7, 1955)","Member of the European Parliament, MEP",,DK
,,,
Pavel Mertlík (*1961),politician,,CZ
,,,
Vladko Todorov Panayotov,"Member of the European Parliament, MEP",,BG
"(*May 7, 1950)",,,
,,,
Igor Petrov (*1959),,,CZ
,,,
"Gabriele Zimmer (*May 7, 1955)","Member of the European Parliament, MEP",,DE
,,,
"Jan Herben (*May 7, 1857)","writer, journalist",,CZ
,,,
Stanislaw Przybyszewski,writer,,PL
"(*May 7, 1868)",,,
,,,
